,n_trees,accuracy,precision,recall,f1,coverage_ratio,mean_distance
422,27.0,1.0,1.0,1.0,1.0,0.0,
423,28.0,1.0,1.0,1.0,1.0,0.0,
424,29.0,1.0,1.0,1.0,1.0,0.0,
425,30.0,1.0,1.0,1.0,1.0,0.0,
426,31.0,1.0,1.0,1.0,1.0,0.0,
427,32.0,1.0,1.0,1.0,1.0,0.0,
428,33.0,1.0,1.0,1.0,1.0,0.0,
429,34.0,1.0,1.0,1.0,1.0,0.0,
430,35.0,1.0,1.0,1.0,1.0,0.0,
431,36.0,1.0,1.0,1.0,1.0,0.0,
432,37.0,1.0,1.0,1.0,1.0,0.0,
433,38.0,1.0,1.0,1.0,1.0,0.0,
434,39.0,1.0,1.0,1.0,1.0,0.0,
435,40.0,1.0,1.0,1.0,1.0,0.0,
436,41.0,1.0,1.0,1.0,1.0,0.0,
437,42.0,1.0,1.0,1.0,1.0,0.0,
438,43.0,1.0,1.0,1.0,1.0,0.0,
439,44.0,1.0,1.0,1.0,1.0,0.0,
440,45.0,1.0,1.0,1.0,1.0,0.0,
441,46.0,1.0,1.0,1.0,1.0,0.0,
442,47.0,1.0,1.0,1.0,1.0,0.0,
443,48.0,1.0,1.0,1.0,1.0,0.0,
444,49.0,1.0,1.0,1.0,1.0,0.0,
445,50.0,1.0,1.0,1.0,1.0,0.0,
446,51.0,1.0,1.0,1.0,1.0,0.0,
447,52.0,1.0,1.0,1.0,1.0,0.0,
448,53.0,1.0,1.0,1.0,1.0,0.0,
449,54.0,1.0,1.0,1.0,1.0,0.0,
450,55.0,1.0,1.0,1.0,1.0,0.0,
451,56.0,1.0,1.0,1.0,1.0,0.0,
452,57.0,1.0,1.0,1.0,1.0,0.0,
453,58.0,1.0,1.0,1.0,1.0,0.0,
454,59.0,1.0,1.0,1.0,1.0,0.0,
455,60.0,1.0,1.0,1.0,1.0,0.0,
456,61.0,1.0,1.0,1.0,1.0,0.0,
457,62.0,1.0,1.0,1.0,1.0,0.0,
458,63.0,1.0,1.0,1.0,1.0,0.0,
459,64.0,1.0,1.0,1.0,1.0,0.0,
460,65.0,1.0,1.0,1.0,1.0,0.0,
461,66.0,1.0,1.0,1.0,1.0,0.0,
462,67.0,1.0,1.0,1.0,1.0,0.0,
463,68.0,1.0,1.0,1.0,1.0,0.0,
464,69.0,1.0,1.0,1.0,1.0,0.0,
465,70.0,1.0,1.0,1.0,1.0,0.0,
466,71.0,1.0,1.0,1.0,1.0,0.0,
467,72.0,1.0,1.0,1.0,1.0,0.0,
468,73.0,1.0,1.0,1.0,1.0,0.0,
469,74.0,1.0,1.0,1.0,1.0,0.0,
470,75.0,1.0,1.0,1.0,1.0,0.0,
471,76.0,1.0,1.0,1.0,1.0,0.0,
472,77.0,1.0,1.0,1.0,1.0,0.0,
