,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance,avg_nnodes,avg_nleaves,avg_depth
236,73.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
237,74.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
238,75.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3
239,76.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
240,77.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.15
241,78.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.15
242,79.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
243,80.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.4
244,81.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05
245,82.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.1
246,83.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
247,84.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
248,85.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.3
249,86.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
250,87.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
251,88.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.35
252,89.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
253,90.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
254,91.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
255,92.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
256,93.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
257,94.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
258,95.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
259,96.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
260,97.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
261,98.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
262,99.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4
263,100.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.25
264,101.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
265,102.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
266,103.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
267,104.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
268,105.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
269,106.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
270,107.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
271,108.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
272,109.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
273,110.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.5,1.4
274,111.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
275,112.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
276,113.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
277,114.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
278,115.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
279,116.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
280,117.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
281,118.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
282,119.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
283,120.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
284,121.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
285,122.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
286,123.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
287,124.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
288,125.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
289,126.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.05
290,127.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
291,128.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
292,129.0,1.0,1.0,1.0,1.0,0.0,,3.7,2.35,1.3
293,130.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
294,131.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
295,132.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
296,133.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.35
297,134.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
298,135.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
299,136.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
300,137.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
301,138.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
302,139.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
303,140.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
304,141.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.15
305,142.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
306,143.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
307,144.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
308,145.0,1.0,1.0,1.0,1.0,0.0,,3.4,2.2,1.2
309,146.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
310,147.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
311,148.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
312,149.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
313,150.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
314,151.0,1.0,1.0,1.0,1.0,0.0,,3.2,2.1,1.1
315,152.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4
316,153.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
317,154.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4
318,155.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05
319,156.0,1.0,1.0,1.0,1.0,0.0,,3.0,2.0,1.0
320,157.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.3
321,158.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.2
322,159.0,1.0,1.0,1.0,1.0,0.0,,3.1,2.05,1.05
323,160.0,1.0,1.0,1.0,1.0,0.0,,3.5,2.25,1.25
324,161.0,1.0,1.0,1.0,1.0,0.0,,3.8,2.4,1.4
325,162.0,1.0,1.0,1.0,1.0,0.0,,3.6,2.3,1.25
326,163.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
327,164.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
328,165.0,1.0,1.0,1.0,1.0,0.0,,4.2,2.6,1.5
329,166.0,1.0,1.0,1.0,1.0,0.0,,3.3,2.15,1.15
330,2.0,0.9918433931484503,0.9932885906040269,0.9983136593591906,0.9957947855340622,1.0,0.21728180463802446,45.6,23.3,10.7
331,3.0,0.99836867862969,1.0,0.9982964224872232,0.9991474850809888,1.0,0.2834340660550971,41.1,21.05,10.35
332,4.0,1.0,1.0,1.0,1.0,1.0,0.3422808743102919,24.9,12.95,7.5
333,5.0,0.99836867862969,0.9983079526226735,1.0,0.9991532599491956,1.0,0.25155284596365163,25.5,13.25,7.8
334,6.0,0.9967373572593801,0.9966499162479062,1.0,0.9983221476510068,0.9510603588907015,0.3204351153142137,25.8,13.4,8.3
335,7.0,0.9951060358890701,0.9948979591836735,1.0,0.9974424552429668,0.9934747145187602,0.4317981838378046,27.3,14.15,8.65
336,8.0,1.0,1.0,1.0,1.0,0.9168026101141925,0.394010836666711,25.5,13.25,7.7
337,9.0,1.0,1.0,1.0,1.0,0.9004893964110929,0.4166332451742085,9.6,5.3,3.8
338,10.0,1.0,1.0,1.0,1.0,1.0,0.3951459543413587,12.9,6.95,4.4
339,11.0,1.0,1.0,1.0,1.0,0.632952691680261,0.4178764497364026,13.2,7.1,4.3
340,12.0,1.0,1.0,1.0,1.0,0.7895595432300163,0.4848177337706403,12.0,6.5,4.35
341,13.0,1.0,1.0,1.0,1.0,0.7357259380097879,0.5066454948065972,12.0,6.5,4.3
342,14.0,1.0,1.0,1.0,1.0,0.4241435562805873,0.4563222251643061,11.1,6.05,4.3
343,15.0,1.0,1.0,1.0,1.0,0.2871125611745514,0.4304769164303776,12.8,6.9,4.75
344,16.0,1.0,1.0,1.0,1.0,0.9396411092985318,0.39717713207732963,12.3,6.65,4.55
345,17.0,1.0,1.0,1.0,1.0,0.5562805872756933,0.503304207972113,12.2,6.6,4.1
346,18.0,1.0,1.0,1.0,1.0,0.8939641109298532,0.25071225362094735,10.4,5.7,4.1
347,19.0,1.0,1.0,1.0,1.0,0.4192495921696574,0.558128024961896,12.0,6.5,4.35
348,20.0,1.0,1.0,1.0,1.0,0.13539967373572592,0.10552532817443903,11.3,6.15,4.35
349,21.0,1.0,1.0,1.0,1.0,0.564437194127243,0.5269903588933962,11.3,6.15,4.5
350,22.0,1.0,1.0,1.0,1.0,0.9804241435562806,0.2386237578906965,11.3,6.15,4.4
351,23.0,1.0,1.0,1.0,1.0,0.03588907014681897,0.6779079194192302,11.6,6.3,4.4
352,24.0,1.0,1.0,1.0,1.0,0.3311582381729201,0.32361999125970486,11.7,6.35,4.6
353,25.0,1.0,1.0,1.0,1.0,0.9706362153344209,0.39084629563024126,8.2,4.6,3.35
354,26.0,1.0,1.0,1.0,1.0,0.533442088091354,0.4253357571352742,8.5,4.75,3.45
355,27.0,1.0,1.0,1.0,1.0,0.5073409461663948,0.28463616466322594,8.6,4.8,3.5
356,28.0,1.0,1.0,1.0,1.0,0.9869494290375204,0.32765396526514073,7.8,4.4,3.0
357,29.0,1.0,1.0,1.0,1.0,0.9804241435562806,0.3745378390689549,9.4,5.2,3.8
358,30.0,1.0,1.0,1.0,1.0,0.7194127243066883,0.313275859589436,10.1,5.55,3.85
359,31.0,1.0,1.0,1.0,1.0,0.9902120717781403,0.3320079712210655,7.5,4.25,3.05
360,32.0,1.0,1.0,1.0,1.0,1.0,0.3338009032094001,7.1,4.05,2.65
361,33.0,1.0,1.0,1.0,1.0,0.9836867862969005,0.3288396000865588,9.8,5.4,3.75
362,34.0,1.0,1.0,1.0,1.0,0.00815660685154973,0.19290055956668556,12.6,6.8,4.8
363,35.0,1.0,1.0,1.0,1.0,0.01631321370309946,0.26849711719204117,9.4,5.2,3.8
364,36.0,1.0,1.0,1.0,1.0,0.9755301794453507,0.3665012900481969,10.1,5.55,3.7
365,37.0,1.0,1.0,1.0,1.0,0.967373572593801,0.3898231377773846,9.3,5.15,3.6
