dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,200,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.448387286,,17.8,40.58623981,4.005290508,0.200264525,20
cancer,FACETIndex,200,3,5,0.903508772,0.871794872,0.85,0.860759494,1,0.458531238,,16.75,40.64432478,3.705169201,0.18525846,20
cancer,FACETIndex,200,9,5,0.956140351,1,0.88372093,0.938271605,1,0.413819653,,15.55,40.73917913,2.924977541,0.146248877,20
cancer,FACETIndex,200,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.417617846,,16.15,40.2226007,3.581372976,0.179068649,20
cancer,FACETIndex,300,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.437381356,,17.25,56.15086794,3.473597527,0.173679876,20
cancer,FACETIndex,300,0,5,0.964912281,1,0.906976744,0.951219512,1,0.408180345,,18.65,56.08302259,3.479486704,0.173974335,20
cancer,FACETIndex,300,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.393495672,,18.95,56.21405339,4.088966846,0.204448342,20
cancer,FACETIndex,300,1,5,0.956140351,0.967741935,0.882352941,0.923076923,1,0.390056153,,18.3,56.21924305,3.681630373,0.184081519,20
cancer,FACETIndex,300,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.388822312,,16.9,55.98359776,3.210442066,0.160522103,20
cancer,FACETIndex,300,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.465415466,,17.95,55.44947481,4.404983044,0.220249152,20
cancer,FACETIndex,300,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.466704194,,18.95,56.47421193,4.181905985,0.209095299,20
cancer,FACETIndex,300,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.484312141,,18.25,56.4423461,3.865404367,0.193270218,20
cancer,FACETIndex,300,9,5,0.964912281,1,0.906976744,0.951219512,1,0.449796619,,17.8,55.95801306,3.278793573,0.163939679,20
cancer,FACETIndex,300,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.442939002,,18.55,55.98406577,3.775880575,0.188794029,20
cancer,FACETIndex,400,5,5,0.947368421,0.930232558,0.930232558,0.930232558,1,0.451470575,,18,72.04884958,3.463203192,0.17316016,20
cancer,FACETIndex,400,0,5,0.964912281,1,0.906976744,0.951219512,1,0.42719333,,19.15,72.24280524,3.506946087,0.175347304,20
cancer,FACETIndex,400,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.408097059,,20.1,71.91650343,4.05343318,0.202671659,20
cancer,FACETIndex,400,1,5,0.956140351,0.967741935,0.882352941,0.923076923,1,0.411346081,,19.05,71.26350498,3.703284979,0.185164249,20
cancer,FACETIndex,400,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.402994901,,18.5,72.05187106,3.437739372,0.171886969,20
cancer,FACETIndex,400,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.486561658,,18.7,71.25864148,4.498022318,0.224901116,20
cancer,FACETIndex,400,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.482778857,,20.3,72.01102161,4.234852791,0.21174264,20
cancer,FACETIndex,400,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.485372508,,19.6,72.03649521,4.22042942,0.211021471,20
cancer,FACETIndex,400,9,5,0.956140351,1,0.88372093,0.938271605,1,0.458029316,,18.8,71.98221159,3.403988361,0.170199418,20
cancer,FACETIndex,400,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.45378777,,18.7,71.56356883,3.740553617,0.187027681,20
cancer,FACETIndex,500,5,5,0.956140351,0.931818182,0.953488372,0.942528736,1,0.463841295,,18.65,88.08716726,3.577223539,0.178861177,20
cancer,FACETIndex,500,0,5,0.964912281,1,0.906976744,0.951219512,1,0.439517896,,19.55,87.93026519,3.521619558,0.176080978,20
cancer,FACETIndex,500,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.42212976,,21.6,87.40371037,4.237856388,0.211892819,20
cancer,FACETIndex,500,1,5,0.956140351,0.967741935,0.882352941,0.923076923,1,0.423850446,,20.35,86.85151267,3.769608974,0.188480449,20
cancer,FACETIndex,500,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.415313975,,18.9,87.37492943,3.730396748,0.186519837,20
cancer,FACETIndex,500,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.494698785,,20.65,87.12124562,4.512117386,0.225605869,20
cancer,FACETIndex,500,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.504854671,,21.35,88.06919289,4.2786057,0.213930285,20
cancer,FACETIndex,500,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.495124833,,19.7,87.50340867,4.244791508,0.212239575,20
cancer,FACETIndex,500,9,5,0.956140351,1,0.88372093,0.938271605,1,0.467759549,,19.75,87.7528317,3.46586132,0.173293066,20
cancer,FACETIndex,500,4,5,0.938596491,0.948717949,0.880952381,0.913580247,1,0.464929022,,20.45,87.49466944,3.857882977,0.192894149,20
compas,FACETIndex,10,0,,0.630681818,0.585313175,0.57782516,0.581545064,1,0.205,0.205,1,2.631989241,0.059691906,0.002984595,20
compas,FACETIndex,10,1,,0.635416667,0.592274678,0.585987261,0.589114194,1,0.19375,0.19375,1,2.709483624,0.056982517,0.002849126,20
compas,FACETIndex,10,2,,0.653409091,0.668341709,0.532,0.592427617,1,0.06125,0.06125,1,2.648828983,0.039640903,0.001982045,20
compas,FACETIndex,10,3,,0.65625,0.660933661,0.544534413,0.597114317,1,0.0975,0.0975,1,2.70530653,0.039836168,0.001991808,20
compas,FACETIndex,10,4,,0.65719697,0.675257732,0.526104418,0.591422122,1,0.08625,0.08625,1,2.592503786,0.038956881,0.001947844,20
compas,FACETIndex,10,5,,0.667613636,0.688405797,0.562130178,0.618892508,1,0.12125,0.12125,1,2.5896492,0.043625116,0.002181256,20
compas,FACETIndex,10,6,,0.636363636,0.651658768,0.537109375,0.588865096,1,0.06625,0.06625,1,2.662834167,0.039905787,0.001995289,20
compas,FACETIndex,10,7,,0.674242424,0.680487805,0.567073171,0.618625277,1,0.12625,0.12625,1,2.607462883,0.047686815,0.002384341,20
compas,FACETIndex,10,8,,0.674242424,0.699519231,0.570588235,0.628509719,1,0.0625,0.0625,1,2.65694952,0.03777194,0.001888597,20
compas,FACETIndex,10,9,,0.653409091,0.652267819,0.59566075,0.622680412,1,0.06,0.06,1,2.612066507,0.038009405,0.00190047,20
compas,FACETIndex,50,0,,0.630681818,0.587196468,0.567164179,0.577006508,1,0.1825,0.1825,1,10.00746942,0.060754299,0.003037715,20
