accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,dataset,explainer,min_robust,iteration
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.723782778,0.386189139,20,adult,FACETIndex,0.075,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.687260628,0.384363031,20,adult,FACETIndex,0.08,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.718476057,0.385923803,20,adult,FACETIndex,0.085,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.68095541,0.384047771,20,adult,FACETIndex,0.09,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.626554966,0.381327748,20,adult,FACETIndex,0.095,5
0.844444444,0.695847924,0.635159817,0.664120315,1,0.117480517,0.176503604,2.6,92.11734152,7.491045952,0.374552298,20,adult,FACETIndex,0.1,5
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.89733219,0.54486661,20,adult,FACETIndex,0.001,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.89910626,0.544955313,20,adult,FACETIndex,0.005,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.86650705,0.543325353,20,adult,FACETIndex,0.01,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.86926579,0.54346329,20,adult,FACETIndex,0.015,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.71829629,0.535914814,20,adult,FACETIndex,0.02,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.55424404,0.527712202,20,adult,FACETIndex,0.025,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.5690906,0.52845453,20,adult,FACETIndex,0.03,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.61239052,0.530619526,20,adult,FACETIndex,0.035,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.7901094,0.53950547,20,adult,FACETIndex,0.04,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.8493042,0.54246521,20,adult,FACETIndex,0.045,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.81030464,0.540515232,20,adult,FACETIndex,0.05,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.91079187,0.545539594,20,adult,FACETIndex,0.055,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.79435825,0.539717913,20,adult,FACETIndex,0.06,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.83147764,0.541573882,20,adult,FACETIndex,0.065,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.89911532,0.544955766,20,adult,FACETIndex,0.07,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,10.94679785,0.547339892,20,adult,FACETIndex,0.075,6
0.845771144,0.715562566,0.614446953,0.66116104,1,0.14256393,0.199286086,2.35,91.29542923,11.00955629,0.550477815,20,adult,FACETIndex,0.08,6
