dataset,explainer,n_trees,max_depth,n_rects,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,FACETIndex,100,,40000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.32821579,,13,32.4398818,6.773724794,0.33868624,20
glass,FACETIndex,100,,40000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198940094,,5.25,32.92583823,4.286010504,0.214300525,20
magic,FACETIndex,100,,40000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.157686595,,7.65,40.90447593,8.147578716,0.407378936,20
spambase,FACETIndex,100,,40000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.075747451,,18.15,34.25161791,9.93322587,0.496661294,20
vertebral,FACETIndex,100,,40000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.069623675,,3.1,32.27509093,6.244940042,0.312247002,20
cancer,FACETIndex,100,,50000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.31106034,,13.7,40.49694252,8.646902084,0.432345104,20
glass,FACETIndex,100,,50000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.196186282,,5,41.05108166,5.051138401,0.25255692,20
magic,FACETIndex,100,,50000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.158913851,,8.15,49.7932508,9.81742692,0.490871346,20
spambase,FACETIndex,100,,50000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.065256807,,16.7,42.69870353,12.50351191,0.625175595,20
vertebral,FACETIndex,100,,50000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.068225961,,3.3,40.55192256,7.712907553,0.385645378,20
cancer,FACETIndex,100,,60000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.308041476,,13.3,48.65963483,10.29967022,0.514983511,20
glass,FACETIndex,100,,60000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.197929892,,5.5,49.95695543,5.816037416,0.290801871,20
magic,FACETIndex,100,,60000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.156030034,,7.9,58.82805943,11.94796824,0.597398412,20
spambase,FACETIndex,100,,60000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.05923037,,16.45,51.3302269,15.03573251,0.751786625,20
vertebral,FACETIndex,100,,60000,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.066935502,,3.5,48.41956329,9.219843626,0.460992181,20
cancer,FACETIndex,100,,70000,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.297848294,,13.15,57.03658104,12.15866137,0.607933068,20
glass,FACETIndex,100,,70000,0,0.848484848,0.85,0.894736842,0.871794872,1,0.196226892,,5.5,58.4326942,6.659466028,0.332973301,20
magic,FACETIndex,100,,70000,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.156780593,,7.9,67.8885262,13.65599799,0.6827999,20
spambase,FACETIndex,100,,70000,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.075372009,,16.8,59.76412821,17.53482366,0.876741183,20
