dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_length,prep_time,explain_time,sample_time,n_explain
glass,FACETIndex,500,6,5,0.878787879,0.933333333,0.823529412,0.875,1,0.172967035,6.5,84.09475827,0.836450815,0.041822541,20
glass,FACETIndex,10,7,5,0.818181818,0.705882353,0.923076923,0.8,1,0.094073691,2.85,2.537270069,0.015679121,0.000783956,20
glass,FACETIndex,50,7,5,0.787878788,0.6875,0.846153846,0.75862069,1,0.155045397,4.3,9.494538307,0.138900518,0.006945026,20
spambase,FACETIndex,50,1,5,0.929347826,0.950617284,0.862745098,0.904552129,1,0.03775981,10.7,23.20747685,0.16612792,0.008306396,20
spambase,FACETIndex,50,6,5,0.911956522,0.93597561,0.836512262,0.883453237,1,0.037237999,10.7,23.93761921,0.383693457,0.019184673,20
glass,FACETIndex,100,7,5,0.787878788,0.6875,0.846153846,0.75862069,1,0.182214714,5.05,18.33576107,0.304262161,0.015213108,20
cancer,FACETIndex,500,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.415313975,18.9,87.37492943,3.730396748,0.186519837,20
cancer,FACETIndex,10,8,5,0.964912281,0.956521739,0.956521739,0.956521739,1,0.174360086,5.45,5.243231058,0.574296474,0.028714824,20
cancer,FACETIndex,500,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.494698785,20.65,87.12124562,4.512117386,0.225605869,20
glass,FACETIndex,500,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.120368773,6.7,82.96663833,0.795058966,0.039752948,20
vertebral,FACETIndex,400,0,5,0.822580645,0.829787234,0.928571429,0.876404494,1,0.088005047,4.85,71.79103041,0.07966876,0.003983438,20
spambase,FACETIndex,100,1,5,0.923913043,0.944272446,0.854341737,0.897058824,1,0.06162275,14.25,34.07652259,0.484526634,0.024226332,20
glass,FACETIndex,10,3,5,0.818181818,0.9,0.818181818,0.857142857,1,0.052584834,2.1,2.516414404,0.015328646,0.000766432,20
cancer,FACETIndex,10,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.220350004,5.5,3.881633759,0.537031174,0.026851559,20
spambase,FACETIndex,100,6,5,0.919565217,0.948012232,0.844686649,0.893371758,1,0.062022178,14.7,33.34214592,0.745939732,0.037296987,20
vertebral,FACETIndex,400,5,5,0.838709677,0.853658537,0.897435897,0.875,1,0.077898549,5,72.26999068,0.095264673,0.004763234,20
magic,FACETIndex,300,1,5,0.842271293,0.825788752,0.9632,0.889217134,1,0.160273263,6.8,62.21551704,0.183345318,0.009167266,20
glass,FACETIndex,50,3,5,0.787878788,0.857142857,0.818181818,0.837209302,1,0.092612985,4.55,9.637878895,0.128273249,0.006413662,20
glass,FACETIndex,500,2,5,0.878787879,0.863636364,0.95,0.904761905,1,0.120368773,6.7,81.99420094,0.794187784,0.039709389,20
magic,FACETIndex,300,6,5,0.850683491,0.835784314,0.960176991,0.893672782,1,0.168455582,7.45,63.29656816,0.278918028,0.013945901,20
cancer,FACETIndex,50,8,5,0.956140351,0.936170213,0.956521739,0.946236559,1,0.337396352,11.85,16.92103267,2.806462526,0.140323126,20
glass,FACETIndex,10,3,5,0.818181818,0.9,0.818181818,0.857142857,1,0.052584834,2.1,2.503910065,0.015068054,0.000753403,20
cancer,FACETIndex,50,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.323531097,9.95,16.22112417,2.012602329,0.100630116,20
glass,FACETIndex,200,7,5,0.787878788,0.6875,0.846153846,0.75862069,1,0.188965137,5.4,35.3396337,0.568237543,0.028411877,20
glass,FACETIndex,50,3,5,0.787878788,0.857142857,0.818181818,0.837209302,1,0.092612985,4.55,9.555059433,0.127685308,0.006384265,20
